page,staff,system,staffgroup,num_ins,ens,ins1,part1,tone1,ins2,part2,tone2,ins3,part3,tone3,ocr,page_norm,family
005,1,1,1,,,bassoon,,,,,,,,,Fg.,005,Woodwind
005,2,1,2,,,horn,,F,,,,,,,Cor. (F),005,Brass
005,3,1,3,,,violin,1,,,,,,,,Vl. I,005,Strings
005,4,1,3,,,violin,2,,,,,,,,Vl. II,005,Strings
005,5,1,3,,,viola,,,,,,,,,Vla.,005,Strings
005,6,1,3,,,cello,,,,,,,,,Vlc.,005,Strings
005,7,1,3,,,bass,,,,,,,,,Cb.,005,Strings
005,8,2,4,,,flute,,,,,,,,,Fl.,005,Woodwind
005,9,2,4,,,clarinet,,B flat,,,,,,,Cl. (B),005,Woodwind
005,10,2,4,,,bassoon,,,,,,,,,Fg.,005,Woodwind
005,11,2,5,2,,horn,1,F,horn,2,F,,,,Cor. (F) 1-2,005,Brass
005,12,2,5,2,,horn,3,F,horn,4,F,,,,Cor. (F) 3-4,005,Brass
005,13,2,6,,,violin,1,,,,,,,,Vl. I,005,Strings
005,14,2,6,,,violin,2,,,,,,,,Vl. II,005,Strings
005,15,2,6,,,viola,,,,,,,,,Vla.,005,Strings
005,16,2,6,,,cello,,,,,,,,,Vlc.,005,Strings
005,17,2,6,,,bass,,,,,,,,,Cb.,005,Strings
