page,staff,system,staffgroup,num_ins,ens,ins1,part1,tone1,ins2,part2,tone2,ins3,part3,tone3,ocr,page_norm,family
004,1,1,1,,,clarinet,,B flat,,,,,,,Cl. (B),004,Woodwind
004,2,1,1,,,bassoon,,,,,,,,,Fg.,004,Woodwind
004,3,1,2,2,,horn,1,F,horn,2,F,,,,1-2 Cor. (F),004,Brass
004,4,1,2,2,,horn,3,F,horn,4,F,,,,3-4 Cor. (F),004,Brass
004,5,1,3,,,violin,1,,,,,,,,Vl. I,004,Strings
004,6,1,3,,,violin,2,,,,,,,,Vl. II,004,Strings
004,7,1,3,,,viola,,,,,,,,,Vla.,004,Strings
004,8,1,3,,,cello,,,,,,,,,Vlc.,004,Strings
004,9,1,3,,,bass,,,,,,,,,Cb.,004,Strings
004,10,2,4,,,horn,,F,,,,,,,Cor. (F),004,Brass
004,11,2,5,,,violin,1,,,,,,,,Vl. I,004,Strings
004,12,2,5,,,violin,2,,,,,,,,Vl. II,004,Strings
004,13,2,5,,,viola,,,,,,,,,Vla.,004,Strings
004,14,2,5,,,cello,,,,,,,,,Vlc.,004,Strings
004,15,2,5,,,bass,,,,,,,,,Cb.,004,Strings
